,source,target,weight
216,Duke,Esterad,6
217,Esterad,Gaudemunda,12
218,Duke,Gaudemunda,4
219,Juan,Lorenzo,6
220,Juan,Julia,6
221,Guiscard,Julia,3
222,Guiscard,Zuleyka,12
223,Esterad,Guiscard,11
224,Gaudemunda,Guiscard,5
225,Guiscard,Tankred,6
226,Esterad,Tankred,5
227,Ciri,Zuleyka,5
228,Esterad,Ithlinne,4
229,Vilgefortz,Yennefer,44
230,Esterad,Yennefer,6
231,Esterad,Vilgefortz,5
232,Two,Yennefer,6
233,Crach,Yennefer,43
234,Fringilla,Yennefer,3
235,Fringilla,Philippa,6
236,Philippa,Yennefer,35
237,Cirilla,Yennefer,1
238,Ciri,Crach,15
239,Ciri,Pavetta,23
240,Pavetta,Yennefer,19
241,Crach,Geralt,3
242,Guthlaf,Yennefer,9
243,Ciri,Sigrdrifa,18
244,Sigrdrifa,Yennefer,27
245,Fringilla,Geralt,13
246,Ciri,Vissegerd,8
247,Vissegerd,Yennefer,4
248,Crach,Riannon,4
249,Riannon,Yennefer,4
250,Crach,Pavetta,8
251,Triss,Two,4
252,Ciri,Geoffrey,6
253,Buyvid,Ciri,5
254,Buyvid,Vysogota,4
255,Ciri,Triss,10
256,Geralt,Vissegerd,5
257,Guthlaf,Sven,18
258,Sven,Yennefer,10
259,Asa,Yennefer,7
260,Hjalmar,Yennefer,5
261,Ciri,Hjalmar,9
262,Ciri,Radovid,10
263,Crach,Hjalmar,5
264,Geralt,Triss,8
265,Philippa,Triss,11
266,Ciri,Philippa,5
267,Philippa,Vilgefortz,9
268,Geralt,Vilgefortz,10
269,Asa,Guthlaf,4
270,Guthlaf,Hjalmar,7
271,Asa,Two,1
272,Guthlaf,Two,1
273,Boreas,Dacre,26
274,Ola,Til,6
275,Falka,Til,3
276,Falka,Scarra,2
277,Bert,Dacre,6
278,Neratin,Til,7
279,Bert,Til,10
280,Ciri,Rience,17
281,Chloe,Ola,7
282,Falka,Rience,2
283,Ithlinne,Vilgefortz,1
284,Ardal,Vattier,3
285,Ardal,Vilgefortz,6
286,Rience,Vattier,9
287,Vysogota,Yennefer,1
288,Andres,Stigward,11
289,Neratin,Stigward,4
290,Chloe,Ciri,1
291,Ciri,Dede,4
292,Chloe,Stigward,5
293,Bert,Chloe,6
294,Ciri,Yuz,2
295,Dede,Yuz,7
296,Falka,Yuz,5
297,Dede,Falka,4
298,Dacre,Dede,4
299,Dacre,Rispat,3
300,Falka,Rispat,4
301,Eurneid,Nenneke,8
302,Eurneid,Milo,1
303,Milo,Nenneke,5
304,Jarre,Nenneke,7
305,Ciri,Nenneke,3
306,Ciri,Jarre,4
307,Ciri,Iola,4
308,Iola,Nenneke,5
309,Gosta,Triss,2
310,Rience,Yennefer,7
311,Nenneke,Yennefer,5
312,Rience,Vilgefortz,9
313,Cirilla,Geralt,5
314,Boreas,Stefan,5
315,Joanna,Ola,2
316,Dacre,Rience,4
317,Bert,Two,6
318,Boreas,Ola,16
319,Boreas,Vilgefortz,3
320,Boreas,Rience,3
321,Bert,Stigward,6
322,Ola,Stigward,5
323,Ola,Stefan,3
324,Bert,Boreas,6
325,Boreas,Yennefer,2
326,Boreas,Ciri,10
327,Eurneid,Kelpie,4
328,Fabio,Yarpen,5
329,Fabio,Geralt,4
